#Top: miox_top   Floorplan: synth_1   Part: xc7z015clg485-1
#Generated by: amarchan   on: Thu Aug  9 18:31:19 2018
#Build: Vivado v2018.2   by: xbuild   on: Thu Jun 14 20:03:12 MDT 2018
#Package Version: FINAL 2013-10-23
#Package Pin Delay Version: VERS. 2.0 2013-10-23

IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,EQUALIZATION,Pull Type,DQS_BIAS,IN_TERM,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage
502,N21,IOPAD_X1Y70,PS_DDR_DQS_P2_502,70.538,71.246,,ddr_55342,ddr_dqs_p[2],INOUT,,,DIFF_SSTL18_II_T_DCI,,FAST,,,,,PULLUP,,,,FP_VTT_50,,
502,H21,IOPAD_X1Y69,PS_DDR_DQS_P1_502,78.132,78.918,,ddr_55342,ddr_dqs_p[1],INOUT,,,DIFF_SSTL18_II_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,C21,IOPAD_X1Y68,PS_DDR_DQS_P0_502,76.151,76.916,,ddr_55342,ddr_dqs_p[0],INOUT,,,DIFF_SSTL18_II_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,M17,IOPAD_X1Y21,PS_DDR_BA2_502,51.262,51.777,,ddr_55342,ddr_ba[2],OUT,,,SSTL18_I,,SLOW,,,,,,,,,FP_VTT_50,,
502,L17,IOPAD_X1Y20,PS_DDR_BA1_502,70.411,71.118,,ddr_55342,ddr_ba[1],OUT,,,SSTL18_I,,SLOW,,,,,,,,,FP_VTT_50,,
502,L16,IOPAD_X1Y19,PS_DDR_BA0_502,54.387,54.934,,ddr_55342,ddr_ba[0],OUT,,,SSTL18_I,,SLOW,,,,,,,,,FP_VTT_50,,
502,AA21,IOPAD_X1Y31,PS_DDR_DM3_502,104.325,105.373,,ddr_55342,ddr_dm[3],INOUT,,,SSTL18_II_T_DCI,,FAST,,,,,PULLUP,,,,FP_VTT_50,,
502,P22,IOPAD_X1Y30,PS_DDR_DM2_502,65.318,65.975,,ddr_55342,ddr_dm[2],INOUT,,,SSTL18_II_T_DCI,,FAST,,,,,PULLUP,,,,FP_VTT_50,,
502,H20,IOPAD_X1Y29,PS_DDR_DM1_502,64.524,65.172,,ddr_55342,ddr_dm[1],INOUT,,,SSTL18_II_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,B22,IOPAD_X1Y28,PS_DDR_DM0_502,82.443,83.271,,ddr_55342,ddr_dm[0],INOUT,,,SSTL18_II_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,Y22,IOPAD_X1Y63,PS_DDR_DQ31_502,105.461,106.521,,ddr_55342,ddr_dq[31],INOUT,,,SSTL18_II_T_DCI,,FAST,,,,,PULLUP,,,,FP_VTT_50,,
502,V20,IOPAD_X1Y62,PS_DDR_DQ30_502,96.904,97.878,,ddr_55342,ddr_dq[30],INOUT,,,SSTL18_II_T_DCI,,FAST,,,,,PULLUP,,,,FP_VTT_50,,
502,W20,IOPAD_X1Y61,PS_DDR_DQ29_502,116.021,117.187,,ddr_55342,ddr_dq[29],INOUT,,,SSTL18_II_T_DCI,,FAST,,,,,PULLUP,,,,FP_VTT_50,,
502,W22,IOPAD_X1Y60,PS_DDR_DQ28_502,99.185,100.182,,ddr_55342,ddr_dq[28],INOUT,,,SSTL18_II_T_DCI,,FAST,,,,,PULLUP,,,,FP_VTT_50,,
502,U21,IOPAD_X1Y59,PS_DDR_DQ27_502,96.020,96.985,,ddr_55342,ddr_dq[27],INOUT,,,SSTL18_II_T_DCI,,FAST,,,,,PULLUP,,,,FP_VTT_50,,
502,AA22,IOPAD_X1Y58,PS_DDR_DQ26_502,107.417,108.497,,ddr_55342,ddr_dq[26],INOUT,,,SSTL18_II_T_DCI,,FAST,,,,,PULLUP,,,,FP_VTT_50,,
502,U22,IOPAD_X1Y57,PS_DDR_DQ25_502,95.538,96.498,,ddr_55342,ddr_dq[25],INOUT,,,SSTL18_II_T_DCI,,FAST,,,,,PULLUP,,,,FP_VTT_50,,
502,Y20,IOPAD_X1Y56,PS_DDR_DQ24_502,126.991,128.268,,ddr_55342,ddr_dq[24],INOUT,,,SSTL18_II_T_DCI,,FAST,,,,,PULLUP,,,,FP_VTT_50,,
502,R22,IOPAD_X1Y55,PS_DDR_DQ23_502,66.580,67.249,,ddr_55342,ddr_dq[23],INOUT,,,SSTL18_II_T_DCI,,FAST,,,,,PULLUP,,,,FP_VTT_50,,
502,M21,IOPAD_X1Y54,PS_DDR_DQ22_502,63.649,64.289,,ddr_55342,ddr_dq[22],INOUT,,,SSTL18_II_T_DCI,,FAST,,,,,PULLUP,,,,FP_VTT_50,,
502,T21,IOPAD_X1Y53,PS_DDR_DQ21_502,81.849,82.671,,ddr_55342,ddr_dq[21],INOUT,,,SSTL18_II_T_DCI,,FAST,,,,,PULLUP,,,,FP_VTT_50,,
502,R20,IOPAD_X1Y52,PS_DDR_DQ20_502,59.725,60.325,,ddr_55342,ddr_dq[20],INOUT,,,SSTL18_II_T_DCI,,FAST,,,,,PULLUP,,,,FP_VTT_50,,
502,T22,IOPAD_X1Y51,PS_DDR_DQ19_502,85.837,86.700,,ddr_55342,ddr_dq[19],INOUT,,,SSTL18_II_T_DCI,,FAST,,,,,PULLUP,,,,FP_VTT_50,,
502,N20,IOPAD_X1Y50,PS_DDR_DQ18_502,58.052,58.635,,ddr_55342,ddr_dq[18],INOUT,,,SSTL18_II_T_DCI,,FAST,,,,,PULLUP,,,,FP_VTT_50,,
502,T20,IOPAD_X1Y49,PS_DDR_DQ17_502,95.082,96.038,,ddr_55342,ddr_dq[17],INOUT,,,SSTL18_II_T_DCI,,FAST,,,,,PULLUP,,,,FP_VTT_50,,
502,M22,IOPAD_X1Y48,PS_DDR_DQ16_502,63.846,64.488,,ddr_55342,ddr_dq[16],INOUT,,,SSTL18_II_T_DCI,,FAST,,,,,PULLUP,,,,FP_VTT_50,,
502,K20,IOPAD_X1Y47,PS_DDR_DQ15_502,68.194,68.880,,ddr_55342,ddr_dq[15],INOUT,,,SSTL18_II_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,J22,IOPAD_X1Y46,PS_DDR_DQ14_502,64.905,65.558,,ddr_55342,ddr_dq[14],INOUT,,,SSTL18_II_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,K22,IOPAD_X1Y45,PS_DDR_DQ13_502,66.752,67.423,,ddr_55342,ddr_dq[13],INOUT,,,SSTL18_II_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,L20,IOPAD_X1Y44,PS_DDR_DQ12_502,51.090,51.604,,ddr_55342,ddr_dq[12],INOUT,,,SSTL18_II_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,L21,IOPAD_X1Y43,PS_DDR_DQ11_502,75.934,76.697,,ddr_55342,ddr_dq[11],INOUT,,,SSTL18_II_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,L22,IOPAD_X1Y42,PS_DDR_DQ10_502,74.396,75.144,,ddr_55342,ddr_dq[10],INOUT,,,SSTL18_II_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,G22,IOPAD_X1Y41,PS_DDR_DQ9_502,66.906,67.578,,ddr_55342,ddr_dq[9],INOUT,,,SSTL18_II_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,G21,IOPAD_X1Y40,PS_DDR_DQ8_502,65.967,66.630,,ddr_55342,ddr_dq[8],INOUT,,,SSTL18_II_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,F22,IOPAD_X1Y39,PS_DDR_DQ7_502,65.603,66.263,,ddr_55342,ddr_dq[7],INOUT,,,SSTL18_II_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,F21,IOPAD_X1Y38,PS_DDR_DQ6_502,64.492,65.140,,ddr_55342,ddr_dq[6],INOUT,,,SSTL18_II_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,E22,IOPAD_X1Y37,PS_DDR_DQ5_502,65.681,66.342,,ddr_55342,ddr_dq[5],INOUT,,,SSTL18_II_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,E20,IOPAD_X1Y36,PS_DDR_DQ4_502,81.327,82.144,,ddr_55342,ddr_dq[4],INOUT,,,SSTL18_II_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,D20,IOPAD_X1Y35,PS_DDR_DQ3_502,64.094,64.739,,ddr_55342,ddr_dq[3],INOUT,,,SSTL18_II_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,B21,IOPAD_X1Y34,PS_DDR_DQ2_502,78.022,78.806,,ddr_55342,ddr_dq[2],INOUT,,,SSTL18_II_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,C20,IOPAD_X1Y33,PS_DDR_DQ1_502,72.516,73.245,,ddr_55342,ddr_dq[1],INOUT,,,SSTL18_II_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,D22,IOPAD_X1Y32,PS_DDR_DQ0_502,64.355,65.001,,ddr_55342,ddr_dq[0],INOUT,,,SSTL18_II_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,P20,IOPAD_X1Y22,PS_DDR_CAS_B_502,74.349,75.097,,ddr_55342,ddr_cas_n,OUT,,,SSTL18_I,,SLOW,,,,,,,,,FP_VTT_50,,
502,N18,IOPAD_X1Y24,PS_DDR_CKN_502,75.327,76.084,,ddr_55342,ddr_ck_n,IN,,,DIFF_SSTL18_I,,FAST,,,,,,,,,FP_VTT_50,,
502,N19,IOPAD_X1Y25,PS_DDR_CKP_502,76.758,77.529,,ddr_55342,ddr_ck_p,IN,,,DIFF_SSTL18_I,,FAST,,,,,,,,,FP_VTT_50,,
502,T19,IOPAD_X1Y23,PS_DDR_CKE_502,95.708,96.670,,ddr_55342,ddr_cke,OUT,,,SSTL18_I,,SLOW,,,,,,,,,FP_VTT_50,,
502,P17,IOPAD_X1Y27,PS_DDR_CS_B_502,87.162,88.038,,ddr_55342,ddr_cs_n,OUT,,,SSTL18_I,,SLOW,,,,,,,,,FP_VTT_50,,
502,P18,IOPAD_X1Y131,PS_DDR_ODT_502,75.193,75.949,,ddr_55342,ddr_odt,OUT,,,SSTL18_I,,SLOW,,,,,,,,,FP_VTT_50,,
502,R18,IOPAD_X1Y133,PS_DDR_RAS_B_502,89.340,90.238,,ddr_55342,ddr_ras_n,OUT,,,SSTL18_I,,SLOW,,,,,,,,,FP_VTT_50,,
502,F20,IOPAD_X1Y72,PS_DDR_DRST_B_502,75.695,76.456,,ddr_55342,ddr_reset_n,INOUT,,,SSTL18_I,,FAST,,,,,,,,,FP_VTT_50,,
502,R19,IOPAD_X1Y1,PS_DDR_WE_B_502,117.780,118.964,,ddr_55342,ddr_we_n,OUT,,,SSTL18_I,,SLOW,,,,,,,,,FP_VTT_50,,
35,F2,IOB_X1Y104,IO_L23P_T3_35,93.493,94.433,,CLK.PCIE_REFCLK_100MHZ_55342,profinet2_led_out[1],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
35,H5,IOB_X1Y100,IO_25_35,48.413,48.899,,CLK.PCIE_REFCLK_100MHZ_55342,profinet2_led_out[0],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
34,J7,IOB_X1Y96,IO_L2P_T0_34,91.964,92.889,,CLK.PCIE_REFCLK_100MHZ_55342,profinet1_led_out[1],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
35,H6,IOB_X1Y149,IO_0_35,37.351,37.726,,CLK.PCIE_REFCLK_100MHZ_55342,profinet1_led_out[0],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
13,W16,IOB_X0Y3,IO_L23N_T3_13,38.724,39.113,,CLK.PCIE_REFCLK_100MHZ_55342,com1_rxen,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
13,Y15,IOB_X0Y25,IO_L12N_T1_MRCC_13,124.609,125.861,,CLK.PCIE_REFCLK_100MHZ_55342,fpga_led,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
112,V5,IPAD_X1Y11,MGTREFCLK1N_112,63.587,64.226,,CLK.PCIE_REFCLK_100MHZ_55342,pcie_sys_clk_n,IN,N,pcie_sys_clk_p,,,,,,,,,,,,,,
112,U5,IPAD_X1Y10,MGTREFCLK1P_112,59.575,60.174,,CLK.PCIE_REFCLK_100MHZ_55342,pcie_sys_clk_p,IN,P,pcie_sys_clk_n,,,,,,,,,,,,,,
35,G7,IOB_X1Y141,IO_L4N_T0_35,66.267,66.933,,lan3_ncsi_55342,lan3_ncsi_rxd[1],IN,,,LVCMOS33,,,,,,,,,,,,,
35,F7,IOB_X1Y148,IO_L1P_T0_AD0P_35,46.312,46.778,,lan3_ncsi_55342,lan3_ncsi_rxd[0],IN,,,LVCMOS33,,,,,,,,,,,,,
34,K8,IOB_X1Y97,IO_L1N_T0_34,69.473,70.171,,lan3_ncsi_55342,lan3_ncsi_txd[1],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
34,L7,IOB_X1Y93,IO_L3N_T0_DQS_34,62.862,63.494,,lan3_ncsi_55342,lan3_ncsi_txd[0],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
35,G8,IOB_X1Y142,IO_L4P_T0_35,68.127,68.812,,lan3_ncsi_55342,lan3_ncsi_crs_dv,IN,,,LVCMOS33,,,,,,,,,,,,,
34,J8,IOB_X1Y98,IO_L1P_T0_34,71.603,72.323,,lan3_ncsi_55342,lan3_ncsi_tx_en,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
13,AB14,IOB_X0Y31,IO_L9N_T1_DQS_13,133.356,134.696,,UART_1_55342,com2_cts_n,IN,,,LVCMOS33,,,,,,,,,,,,,
13,AB13,IOB_X0Y32,IO_L9P_T1_DQS_13,144.075,145.523,,UART_1_55342,com2_dcd_n,IN,,,LVCMOS33,,,,,,,,,,,,,
13,AA12,IOB_X0Y34,IO_L8P_T1_13,152.529,154.062,,UART_1_55342,com2_dsr_n,IN,,,LVCMOS33,,,,,,,,,,,,,
13,W15,IOB_X0Y45,IO_L2N_T0_13,180.553,182.368,,UART_1_55342,com2_dtr_n,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
13,W13,IOB_X0Y43,IO_L3N_T0_DQS_13,191.645,193.571,,UART_1_55342,com2_ri_n,IN,,,LVCMOS33,,,,,,,,,,,,,
13,V14,IOB_X0Y47,IO_L1N_T0_13,161.848,163.474,,UART_1_55342,com2_rts_n,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
13,Y13,IOB_X0Y29,IO_L10N_T1_13,132.859,134.195,,UART_1_55342,com2_rxd,IN,,,LVCMOS33,,,,,,,,,,,,,
13,V15,IOB_X0Y46,IO_L2P_T0_13,189.540,191.445,,UART_1_55342,com2_txd,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
35,D6,IOB_X1Y145,IO_L2N_T0_AD8N_35,43.638,44.077,,lan2_ncsi_55342,lan2_ncsi_rxd[1],IN,,,LVCMOS33,,,,,,,,,,,,,
35,B6,IOB_X1Y133,IO_L8N_T1_AD10N_35,79.319,80.117,,lan2_ncsi_55342,lan2_ncsi_rxd[0],IN,,,LVCMOS33,,,,,,,,,,,,,
35,G6,IOB_X1Y138,IO_L6P_T0_35,48.937,49.429,,lan2_ncsi_55342,lan2_ncsi_txd[1],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
35,B8,IOB_X1Y135,IO_L7N_T1_AD2N_35,85.877,86.740,,lan2_ncsi_55342,lan2_ncsi_txd[0],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
35,A6,IOB_X1Y131,IO_L9N_T1_DQS_AD3N_35,90.473,91.382,,lan2_ncsi_55342,lan2_ncsi_crs_dv,IN,,,LVCMOS33,,,,,,,,,,,,,
35,A7,IOB_X1Y132,IO_L9P_T1_DQS_AD3P_35,96.277,97.245,,lan2_ncsi_55342,lan2_ncsi_tx_en,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
500,A19,IOPAD_X1Y83,PS_MIO6_500,74.802,75.553,,fixed_io_55342,mio[6],OUT,,,LVCMOS33,8,SLOW,,,,,,,,,NONE,,
500,A20,IOPAD_X1Y82,PS_MIO5_500,75.763,76.524,,fixed_io_55342,mio[5],INOUT,,,LVCMOS33,8,SLOW,,,,,,,,,NONE,,
500,E19,IOPAD_X1Y81,PS_MIO4_500,41.430,41.847,,fixed_io_55342,mio[4],INOUT,,,LVCMOS33,8,SLOW,,,,,,,,,NONE,,
500,F17,IOPAD_X1Y80,PS_MIO3_500,43.949,44.391,,fixed_io_55342,mio[3],INOUT,,,LVCMOS33,8,SLOW,,,,,,,,,NONE,,
500,A21,IOPAD_X1Y79,PS_MIO2_500,81.267,82.083,,fixed_io_55342,mio[2],INOUT,,,LVCMOS33,8,SLOW,,,,,,,,,NONE,,
500,A22,IOPAD_X1Y78,PS_MIO1_500,88.857,89.750,,fixed_io_55342,mio[1],OUT,,,LVCMOS33,8,SLOW,,,,,PULLUP,,,,NONE,,
502,M16,IOPAD_X1Y2,PS_DDR_VRN_502,75.083,75.838,,fixed_io_55342,ddr_vrn,INOUT,,,SSTL18_II_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
502,N16,IOPAD_X1Y3,PS_DDR_VRP_502,76.712,77.483,,fixed_io_55342,ddr_vrp,INOUT,,,SSTL18_II_T_DCI,,FAST,,,,,,,,,FP_VTT_50,,
500,F16,IOPAD_X1Y26,PS_CLK_500,30.054,30.356,,fixed_io_55342,ps_clk,INOUT,,,LVCMOS33,12,FAST,,,,,,,,,FP_VTT_50,,
500,B18,IOPAD_X1Y132,PS_POR_B_500,52.631,53.160,,fixed_io_55342,ps_porb,INOUT,,,LVCMOS33,12,FAST,,,,,,,,,FP_VTT_50,,
501,C14,IOPAD_X1Y134,PS_SRST_B_501,39.183,39.577,,fixed_io_55342,ps_srstb,INOUT,,,LVCMOS33,12,FAST,,,,,,,,,FP_VTT_50,,
35,F1,IOB_X1Y103,IO_L23N_T3_35,83.919,84.762,,lan4_ncsi_55342,lan4_ncsi_rxd[1],IN,,,LVCMOS33,,,,,,,,,,,,,
34,J6,IOB_X1Y95,IO_L2N_T0_34,67.710,68.390,,lan4_ncsi_55342,lan4_ncsi_rxd[0],IN,,,LVCMOS33,,,,,,,,,,,,,
35,D3,IOB_X1Y122,IO_L14P_T2_AD4P_SRCC_35,80.581,81.391,,lan4_ncsi_55342,lan4_ncsi_txd[1],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
35,B2,IOB_X1Y114,IO_L18P_T2_AD13P_35,108.165,109.253,,lan4_ncsi_55342,lan4_ncsi_txd[0],OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
35,E2,IOB_X1Y116,IO_L17P_T2_AD5P_35,77.454,78.232,,lan4_ncsi_55342,lan4_ncsi_crs_dv,IN,,,LVCMOS33,,,,,,,,,,,,,
35,D2,IOB_X1Y115,IO_L17N_T2_AD5N_35,78.114,78.899,,lan4_ncsi_55342,lan4_ncsi_tx_en,OUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
34,N1,IOB_X1Y68,IO_L16P_T2_34,69.756,70.457,,lpc_55342,lpc_ad[3],INOUT,,,LVCMOS33,12,SLOW,,,,,,,,,FP_VTT_50,,
